"Teams","Game","Points","Conference","MaxPoints","MinPoints","MaxFinal","PointsLessGames","MaxPointsLessGames","MinPointsLessGames","MaxFinalLessGames"
"Central Valley Fuego",0,0,"East",0,0,96,0,0,0,96
"Charlotte Independence",0,0,"East",0,0,96,0,0,0,96
"Chattanooga Red Wolves",0,0,"East",0,0,96,0,0,0,96
"Forward Madison",0,0,"East",0,0,96,0,0,0,96
"Greenville Triumph",0,0,"East",0,0,96,0,0,0,96
"Lexington",0,0,"East",0,0,96,0,0,0,96
"North Carolina",0,0,"East",0,0,96,0,0,0,96
"Northern Colorado",0,0,"East",0,0,96,0,0,0,96
"One Knoxville",0,0,"East",0,0,96,0,0,0,96
"Richmond Kickers",0,0,"East",0,0,96,0,0,0,96
"Tormenta",0,0,"East",0,0,96,0,0,0,96
"Union Omaha",0,0,"East",0,0,96,0,0,0,96
"Central Valley Fuego",1,3,"East",3,3,96,2,2,2,95
"Charlotte Independence",1,1,"East",1,1,94,0,0,0,93
"Chattanooga Red Wolves",1,1,"East",1,1,94,0,0,0,93
"Forward Madison",1,1,"East",1,1,94,0,0,0,93
"Greenville Triumph",1,0,"East",0,0,93,-1,-1,-1,92
"Lexington",1,0,"East",0,0,93,-1,-1,-1,92
"North Carolina",1,0,"East",0,0,93,-1,-1,-1,92
"Northern Colorado",1,1,"East",1,1,94,0,0,0,93
"One Knoxville",1,3,"East",3,3,96,2,2,2,95
"Richmond Kickers",1,1,"East",1,1,94,0,0,0,93
"Tormenta",1,3,"East",3,3,96,2,2,2,95
"Union Omaha",1,1,"East",1,1,94,0,0,0,93
"Central Valley Fuego",2,3,"East",3,3,93,1,1,1,91
"Charlotte Independence",2,4,"East",4,4,94,2,2,2,92
"Chattanooga Red Wolves",2,1,"East",1,1,91,-1,-1,-1,89
"Forward Madison",2,2,"East",2,2,92,0,0,0,90
"Greenville Triumph",2,0,"East",0,0,90,-2,-2,-2,88
"Lexington",2,0,"East",0,0,90,-2,-2,-2,88
"North Carolina",2,3,"East",3,3,93,1,1,1,91
"Northern Colorado",2,4,"East",4,4,94,2,2,2,92
"One Knoxville",2,3,"East",3,3,93,1,1,1,91
"Richmond Kickers",2,4,"East",4,4,94,2,2,2,92
"Tormenta",2,3,"East",3,3,93,1,1,1,91
"Union Omaha",2,4,"East",4,4,94,2,2,2,92
"Central Valley Fuego",3,4,"East",4,4,91,1,1,1,88
"Charlotte Independence",3,7,"East",7,7,94,4,4,4,91
"Chattanooga Red Wolves",3,4,"East",4,4,91,1,1,1,88
"Forward Madison",3,5,"East",5,5,92,2,2,2,89
"Greenville Triumph",3,0,"East",0,0,87,-3,-3,-3,84
"Lexington",3,1,"East",1,1,88,-2,-2,-2,85
"North Carolina",3,4,"East",4,4,91,1,1,1,88
"Northern Colorado",3,5,"East",5,5,92,2,2,2,89
"One Knoxville",3,4,"East",4,4,91,1,1,1,88
"Richmond Kickers",3,4,"East",4,4,91,1,1,1,88
"Tormenta",3,3,"East",3,3,90,0,0,0,87
"Union Omaha",3,4,"East",4,4,91,1,1,1,88
"Central Valley Fuego",4,4,"East",4,4,88,0,0,0,84
"Charlotte Independence",4,8,"East",8,8,92,4,4,4,88
"Chattanooga Red Wolves",4,4,"East",4,4,88,0,0,0,84
"Forward Madison",4,6,"East",6,6,90,2,2,2,86
"Greenville Triumph",4,3,"East",3,3,87,-1,-1,-1,83
"Lexington",4,4,"East",4,4,88,0,0,0,84
"North Carolina",4,7,"East",7,7,91,3,3,3,87
"Northern Colorado",4,5,"East",5,5,89,1,1,1,85
"One Knoxville",4,4,"East",4,4,88,0,0,0,84
"Richmond Kickers",4,5,"East",5,5,89,1,1,1,85
"Tormenta",4,6,"East",6,6,90,2,2,2,86
"Union Omaha",4,5,"East",5,5,89,1,1,1,85
"Central Valley Fuego",5,4,"East",4,4,85,-1,-1,-1,80
"Charlotte Independence",5,9,"East",9,9,90,4,4,4,85
"Chattanooga Red Wolves",5,7,"East",7,7,88,2,2,2,83
"Forward Madison",5,7,"East",7,7,88,2,2,2,83
"Greenville Triumph",5,6,"East",6,6,87,1,1,1,82
"Lexington",5,4,"East",4,4,85,-1,-1,-1,80
"North Carolina",5,10,"East",10,10,91,5,5,5,86
"Northern Colorado",5,8,"East",8,8,89,3,3,3,84
"One Knoxville",5,7,"East",7,7,88,2,2,2,83
"Richmond Kickers",5,8,"East",8,8,89,3,3,3,84
"Tormenta",5,6,"East",6,6,87,1,1,1,82
"Union Omaha",5,8,"East",8,8,89,3,3,3,84
"Central Valley Fuego",6,4,"East",4,4,82,-2,-2,-2,76
"Charlotte Independence",6,12,"East",12,12,90,6,6,6,84
"Chattanooga Red Wolves",6,7,"East",7,7,85,1,1,1,79
"Forward Madison",6,10,"East",10,10,88,4,4,4,82
"Greenville Triumph",6,6,"East",6,6,84,0,0,0,78
"Lexington",6,4,"East",4,4,82,-2,-2,-2,76
"North Carolina",6,13,"East",13,13,91,7,7,7,85
"Northern Colorado",6,11,"East",11,11,89,5,5,5,83
"One Knoxville",6,8,"East",8,8,86,2,2,2,80
"Richmond Kickers",6,9,"East",9,9,87,3,3,3,81
"Tormenta",6,9,"East",9,9,87,3,3,3,81
"Union Omaha",6,9,"East",9,9,87,3,3,3,81
"Central Valley Fuego",7,4,"East",4,4,79,-3,-3,-3,72
"Charlotte Independence",7,13,"East",13,13,88,6,6,6,81
"Chattanooga Red Wolves",7,7,"East",7,7,82,0,0,0,75
"Forward Madison",7,10,"East",10,10,85,3,3,3,78
"Greenville Triumph",7,9,"East",9,9,84,2,2,2,77
"Lexington",7,7,"East",7,7,82,0,0,0,75
"North Carolina",7,16,"East",16,16,91,9,9,9,84
"Northern Colorado",7,14,"East",14,14,89,7,7,7,82
"One Knoxville",7,8,"East",8,8,83,1,1,1,76
"Richmond Kickers",7,10,"East",10,10,85,3,3,3,78
"Tormenta",7,9,"East",9,9,84,2,2,2,77
"Union Omaha",7,10,"East",10,10,85,3,3,3,78
"Central Valley Fuego",8,7,"East",7,7,79,-1,-1,-1,71
"Charlotte Independence",8,13,"East",13,13,85,5,5,5,77
"Chattanooga Red Wolves",8,8,"East",8,8,80,0,0,0,72
"Forward Madison",8,13,"East",13,13,85,5,5,5,77
"Greenville Triumph",8,10,"East",10,10,82,2,2,2,74
"Lexington",8,7,"East",7,7,79,-1,-1,-1,71
"North Carolina",8,16,"East",16,16,88,8,8,8,80
"Northern Colorado",8,15,"East",15,15,87,7,7,7,79
"One Knoxville",8,11,"East",11,11,83,3,3,3,75
"Richmond Kickers",8,10,"East",10,10,82,2,2,2,74
"Tormenta",8,12,"East",12,12,84,4,4,4,76
"Union Omaha",8,11,"East",11,11,83,3,3,3,75
"Central Valley Fuego",9,7,"East",7,7,76,-2,-2,-2,67
"Charlotte Independence",9,13,"East",13,13,82,4,4,4,73
"Chattanooga Red Wolves",9,8,"East",8,8,77,-1,-1,-1,68
"Forward Madison",9,13,"East",13,13,82,4,4,4,73
"Greenville Triumph",9,10,"East",10,10,79,1,1,1,70
"Lexington",9,8,"East",8,8,77,-1,-1,-1,68
"North Carolina",9,19,"East",19,19,88,10,10,10,79
"Northern Colorado",9,18,"East",18,18,87,9,9,9,78
"One Knoxville",9,14,"East",14,14,83,5,5,5,74
"Richmond Kickers",9,13,"East",13,13,82,4,4,4,73
"Tormenta",9,12,"East",12,12,81,3,3,3,72
"Union Omaha",9,11,"East",11,11,80,2,2,2,71
"Central Valley Fuego",10,10,"East",10,10,76,0,0,0,66
"Charlotte Independence",10,16,"East",16,16,82,6,6,6,72
"Chattanooga Red Wolves",10,8,"East",8,8,74,-2,-2,-2,64
"Forward Madison",10,13,"East",13,13,79,3,3,3,69
"Greenville Triumph",10,11,"East",11,11,77,1,1,1,67
"Lexington",10,9,"East",9,9,75,-1,-1,-1,65
"North Carolina",10,19,"East",19,19,85,9,9,9,75
"Northern Colorado",10,19,"East",19,19,85,9,9,9,75
"One Knoxville",10,15,"East",15,15,81,5,5,5,71
"Richmond Kickers",10,14,"East",14,14,80,4,4,4,70
"Tormenta",10,13,"East",13,13,79,3,3,3,69
"Union Omaha",10,11,"East",11,11,77,1,1,1,67
"Central Valley Fuego",11,10,"East",10,10,73,-1,-1,-1,62
"Charlotte Independence",11,19,"East",19,19,82,8,8,8,71
"Chattanooga Red Wolves",11,11,"East",11,11,74,0,0,0,63
"Forward Madison",11,16,"East",16,16,79,5,5,5,68
"Greenville Triumph",11,12,"East",12,12,75,1,1,1,64
"Lexington",11,10,"East",10,10,73,-1,-1,-1,62
"North Carolina",11,22,"East",22,22,85,11,11,11,74
"Northern Colorado",11,22,"East",22,22,85,11,11,11,74
"One Knoxville",11,15,"East",15,15,78,4,4,4,67
"Richmond Kickers",11,17,"East",17,17,80,6,6,6,69
"Tormenta",11,14,"East",14,14,77,3,3,3,66
"Union Omaha",11,12,"East",12,12,75,1,1,1,64
"Central Valley Fuego",12,10,"East",10,10,70,-2,-2,-2,58
"Charlotte Independence",12,22,"East",22,22,82,10,10,10,70
"Chattanooga Red Wolves",12,11,"East",11,11,71,-1,-1,-1,59
"Forward Madison",12,19,"East",19,19,79,7,7,7,67
"Greenville Triumph",12,13,"East",13,13,73,1,1,1,61
"Lexington",12,13,"East",13,13,73,1,1,1,61
"North Carolina",12,22,"East",22,22,82,10,10,10,70
"Northern Colorado",12,25,"East",25,25,85,13,13,13,73
"One Knoxville",12,16,"East",16,16,76,4,4,4,64
"Richmond Kickers",12,17,"East",17,17,77,5,5,5,65
"Tormenta",12,15,"East",15,15,75,3,3,3,63
"Union Omaha",12,13,"East",13,13,73,1,1,1,61
"Central Valley Fuego",13,10,"East",10,10,67,-3,-3,-3,54
"Charlotte Independence",13,22,"East",22,22,79,9,9,9,66
"Chattanooga Red Wolves",13,11,"East",11,11,68,-2,-2,-2,55
"Forward Madison",13,22,"East",22,22,79,9,9,9,66
"Greenville Triumph",13,16,"East",16,16,73,3,3,3,60
"Lexington",13,14,"East",14,14,71,1,1,1,58
"North Carolina",13,23,"East",23,23,80,10,10,10,67
"Northern Colorado",13,26,"East",26,26,83,13,13,13,70
"One Knoxville",13,19,"East",19,19,76,6,6,6,63
"Richmond Kickers",13,20,"East",20,20,77,7,7,7,64
"Tormenta",13,15,"East",15,15,72,2,2,2,59
"Union Omaha",13,16,"East",16,16,73,3,3,3,60
"Central Valley Fuego",14,10,"East",10,10,64,-4,-4,-4,50
"Charlotte Independence",14,23,"East",23,23,77,9,9,9,63
"Chattanooga Red Wolves",14,12,"East",12,12,66,-2,-2,-2,52
"Forward Madison",14,25,"East",25,25,79,11,11,11,65
"Greenville Triumph",14,19,"East",19,19,73,5,5,5,59
"Lexington",14,14,"East",14,14,68,0,0,0,54
"North Carolina",14,26,"East",26,26,80,12,12,12,66
