"Teams","Game","Points","Conference","MaxPoints","MinPoints","MaxFinal","PointsLessGames","MaxPointsLessGames","MinPointsLessGames","MaxFinalLessGames"
"Birmingham Legion",0,0,"East",0,0,102,0,0,0,102
"Charleston Battery",0,0,"East",0,0,102,0,0,0,102
"Colorado Springs",0,0,"West",0,0,102,0,0,0,102
"Detroit City",0,0,"East",0,0,102,0,0,0,102
"El Paso Locomotive",0,0,"West",0,0,102,0,0,0,102
"FC Tulsa",0,0,"East",0,0,102,0,0,0,102
"Hartford Athletic",0,0,"East",0,0,102,0,0,0,102
"Indy Eleven",0,0,"East",0,0,102,0,0,0,102
"Las Vegas Lights",0,0,"West",0,0,102,0,0,0,102
"Loudoun United",0,0,"East",0,0,102,0,0,0,102
"Louisville City",0,0,"East",0,0,102,0,0,0,102
"Memphis 901",0,0,"East",0,0,102,0,0,0,102
"Miami FC",0,0,"East",0,0,102,0,0,0,102
"Monterey Bay",0,0,"West",0,0,102,0,0,0,102
"New Mexico United",0,0,"West",0,0,102,0,0,0,102
"Oakland Roots",0,0,"West",0,0,102,0,0,0,102
"Orange County SC",0,0,"West",0,0,102,0,0,0,102
"Phoenix Rising",0,0,"West",0,0,102,0,0,0,102
"Pittsburgh Riverhounds",0,0,"East",0,0,102,0,0,0,102
"Rio Grande Valley",0,0,"West",0,0,102,0,0,0,102
"Sacramento Republic",0,0,"West",0,0,102,0,0,0,102
"San Antonio",0,0,"West",0,0,102,0,0,0,102
"San Diego Loyal",0,0,"West",0,0,102,0,0,0,102
"Tampa Bay Rowdies",0,0,"East",0,0,102,0,0,0,102
"Birmingham Legion",1,1,"East",1,1,100,0,0,0,99
"Charleston Battery",1,1,"East",1,1,100,0,0,0,99
"Colorado Springs",1,3,"West",3,3,102,2,2,2,101
"Detroit City",1,0,"East",0,0,99,-1,-1,-1,98
"El Paso Locomotive",1,0,"West",0,0,99,-1,-1,-1,98
"FC Tulsa",1,1,"East",1,1,100,0,0,0,99
"Hartford Athletic",1,0,"East",0,0,99,-1,-1,-1,98
"Indy Eleven",1,1,"East",1,1,100,0,0,0,99
"Las Vegas Lights",1,1,"West",1,1,100,0,0,0,99
"Loudoun United",1,3,"East",3,3,102,2,2,2,101
"Louisville City",1,3,"East",3,3,102,2,2,2,101
"Memphis 901",1,0,"East",0,0,99,-1,-1,-1,98
"Miami FC",1,1,"East",1,1,100,0,0,0,99
"Monterey Bay",1,3,"West",3,3,102,2,2,2,101
"New Mexico United",1,3,"West",3,3,102,2,2,2,101
"Oakland Roots",1,0,"West",0,0,99,-1,-1,-1,98
"Orange County SC",1,0,"West",0,0,99,-1,-1,-1,98
"Phoenix Rising",1,1,"West",1,1,100,0,0,0,99
"Pittsburgh Riverhounds",1,1,"East",1,1,100,0,0,0,99
"Rio Grande Valley",1,1,"West",1,1,100,0,0,0,99
"Sacramento Republic",1,3,"West",3,3,102,2,2,2,101
"San Antonio",1,3,"West",3,3,102,2,2,2,101
"San Diego Loyal",1,3,"West",3,3,102,2,2,2,101
"Tampa Bay Rowdies",1,1,"East",1,1,100,0,0,0,99
"Birmingham Legion",2,4,"East",4,4,100,2,2,2,98
"Charleston Battery",2,2,"East",2,2,98,0,0,0,96
"Colorado Springs",2,4,"West",4,4,100,2,2,2,98
"Detroit City",2,3,"East",3,3,99,1,1,1,97
"El Paso Locomotive",2,0,"West",0,0,96,-2,-2,-2,94
"FC Tulsa",2,1,"East",1,1,97,-1,-1,-1,95
"Hartford Athletic",2,1,"East",1,1,97,-1,-1,-1,95
"Indy Eleven",2,4,"East",4,4,100,2,2,2,98
"Las Vegas Lights",2,2,"West",2,2,98,0,0,0,96
"Loudoun United",2,4,"East",4,4,100,2,2,2,98
"Louisville City",2,6,"East",6,6,102,4,4,4,100
"Memphis 901",2,0,"East",0,0,96,-2,-2,-2,94
"Miami FC",2,1,"East",1,1,97,-1,-1,-1,95
"Monterey Bay",2,3,"West",3,3,99,1,1,1,97
"New Mexico United",2,3,"West",3,3,99,1,1,1,97
"Oakland Roots",2,1,"West",1,1,97,-1,-1,-1,95
"Orange County SC",2,1,"West",1,1,97,-1,-1,-1,95
"Phoenix Rising",2,1,"West",1,1,97,-1,-1,-1,95
"Pittsburgh Riverhounds",2,4,"East",4,4,100,2,2,2,98
"Rio Grande Valley",2,2,"West",2,2,98,0,0,0,96
"Sacramento Republic",2,4,"West",4,4,100,2,2,2,98
"San Antonio",2,4,"West",4,4,100,2,2,2,98
"San Diego Loyal",2,6,"West",6,6,102,4,4,4,100
"Tampa Bay Rowdies",2,2,"East",2,2,98,0,0,0,96
"Birmingham Legion",3,7,"East",7,7,100,4,4,4,97
"Charleston Battery",3,5,"East",5,5,98,2,2,2,95
"Colorado Springs",3,4,"West",4,4,97,1,1,1,94
"Detroit City",3,3,"East",3,3,96,0,0,0,93
"El Paso Locomotive",3,0,"West",0,0,93,-3,-3,-3,90
"FC Tulsa",3,4,"East",4,4,97,1,1,1,94
"Hartford Athletic",3,1,"East",1,1,94,-2,-2,-2,91
"Indy Eleven",3,5,"East",5,5,98,2,2,2,95
"Las Vegas Lights",3,3,"West",3,3,96,0,0,0,93
"Loudoun United",3,4,"East",4,4,97,1,1,1,94
"Louisville City",3,6,"East",6,6,99,3,3,3,96
"Memphis 901",3,1,"East",1,1,94,-2,-2,-2,91
"Miami FC",3,2,"East",2,2,95,-1,-1,-1,92
"Monterey Bay",3,4,"West",4,4,97,1,1,1,94
"New Mexico United",3,3,"West",3,3,96,0,0,0,93
"Oakland Roots",3,4,"West",4,4,97,1,1,1,94
"Orange County SC",3,2,"West",2,2,95,-1,-1,-1,92
"Phoenix Rising",3,2,"West",2,2,95,-1,-1,-1,92
"Pittsburgh Riverhounds",3,5,"East",5,5,98,2,2,2,95
"Rio Grande Valley",3,3,"West",3,3,96,0,0,0,93
"Sacramento Republic",3,7,"West",7,7,100,4,4,4,97
"San Antonio",3,7,"West",7,7,100,4,4,4,97
"San Diego Loyal",3,6,"West",6,6,99,3,3,3,96
"Tampa Bay Rowdies",3,2,"East",2,2,95,-1,-1,-1,92
"Birmingham Legion",4,10,"East",10,10,100,6,6,6,96
"Charleston Battery",4,8,"East",8,8,98,4,4,4,94
"Colorado Springs",4,7,"West",7,7,97,3,3,3,93
"Detroit City",4,3,"East",3,3,93,-1,-1,-1,89
"El Paso Locomotive",4,3,"West",3,3,93,-1,-1,-1,89
"FC Tulsa",4,5,"East",5,5,95,1,1,1,91
"Hartford Athletic",4,2,"East",2,2,92,-2,-2,-2,88
"Indy Eleven",4,5,"East",5,5,95,1,1,1,91
"Las Vegas Lights",4,4,"West",4,4,94,0,0,0,90
"Loudoun United",4,4,"East",4,4,94,0,0,0,90
"Louisville City",4,6,"East",6,6,96,2,2,2,92
"Memphis 901",4,2,"East",2,2,92,-2,-2,-2,88
"Miami FC",4,3,"East",3,3,93,-1,-1,-1,89
"Monterey Bay",4,4,"West",4,4,94,0,0,0,90
"New Mexico United",4,4,"West",4,4,94,0,0,0,90
"Oakland Roots",4,7,"West",7,7,97,3,3,3,93
"Orange County SC",4,3,"West",3,3,93,-1,-1,-1,89
"Phoenix Rising",4,5,"West",5,5,95,1,1,1,91
